"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1733",370.28,373.49,364.67,366.18,2737400,366.18
"1734",365.82,368.78,362.5,364.94,1904800,364.94
"1735",367.56,367.56,360.45,362.57,1771500,362.57
"1736",364.05,369.25,363.3,368.92,1964600,368.92
"1737",370,374.5,366.31,372.31,2965500,372.31
"1738",373.82,377.79,373.18,376.64,2972300,376.64
"1739",377.61,382.5,374.82,381.37,2724400,381.37
"1740",383.5,387,382.61,386.71,2269700,386.71
"1741",389.1,394.1,388.62,393.62,2406000,393.62
"1742",399,399,389.1,392.3,4714000,392.3
"1743",390.11,390.95,383.1,384.66,3702900,384.66
"1744",383.5,389.69,381.49,385.96,2355300,385.96
"1745",386.65,386.65,381.37,384.49,1906500,384.49
"1746",388.35,388.35,383.83,386.95,1984700,386.95
"1747",388.11,388.21,382.57,384.89,2761800,384.89
"1748",383.74,389.06,383.02,387.78,2736800,387.78
"1749",387.34,388.98,382,382.19,2451300,382.19
"1750",381.26,385,379.5,381.25,2123700,381.25
"1751",385.32,389.42,383.8,384.24,3025000,384.24
"1752",385.03,391.7,385,388.97,2251700,388.97
"1753",390.65,391.36,386.5,387.65,2343900,387.65
"1754",389.23,396.3,383.1,395.96,3489100,395.96
"1755",394.27,397.29,392.6,395.19,2427200,395.19
"1756",396.55,404.72,395.78,402.2,5033900,402.2
"1757",403.69,405,399.2,402.92,2659500,402.92
"1758",402.52,403.72,396.37,399.2,1380400,399.2
"1759",401.79,404.52,396.81,404.39,1868500,404.39
"1760",404.65,405.63,396.25,398.08,1986900,398.08
"1761",399.41,399.92,392.45,393.37,2487100,393.37
"1762",394.58,398.83,393.8,398.79,1996500,398.79
"1763",398.8,399.36,394.02,397.97,2137800,397.97
"1764",398.29,402.71,396.22,396.44,2210200,396.44
"1765",395.85,397,388.42,393.63,3170600,393.63
"1766",395.04,398.47,394.29,398.03,1916000,398.03
"1767",398.47,403,396.04,401.92,2316500,401.92
"1768",403.71,406.89,398.44,401.01,2103000,401.01
"1769",402.53,403.76,393.8,397.66,2679500,397.66
"1770",397.98,399.78,388.45,390.98,2844900,390.98
"1771",392.13,398.63,391.29,397.54,2340100,397.54
"1772",398.94,399.31,392.53,395.87,2678300,395.87
"1773",393.68,399.29,389.41,395.8,2601200,395.8
"1774",394.26,403.49,393.66,399.61,4505100,399.61
"1775",403,407.8,401.6,407.05,3122100,407.05
"1776",408,408.06,402,404.54,2060500,404.54
"1777",401,406.17,397.79,399.87,3025400,399.87
"1778",398.16,400.2,387.27,387.6,4458400,387.6
"1779",390.5,394.1,380.49,386.28,3936800,386.28
"1780",387.4,394.74,387.12,394.43,2894500,394.43
"1781",392.16,392.85,383.24,384.2,3382300,384.2
"1782",393.77,406.25,387.7,403.01,10473900,403.01
"1783",371.76,375.45,357.76,358.69,16154800,358.69
"1784",358.98,360.85,340.1,346.15,10280800,346.15
"1785",349.59,354,344.02,347.95,4812900,347.95
"1786",346,349.37,337.73,346.45,4435400,346.45
"1787",347.4,354.82,347.4,354.59,3335700,354.59
"1788",358.98,361.8,352.49,361.08,4330500,361.08
"1789",361.61,365,359.35,360.87,3449700,360.87
"1790",361.84,363.61,356.25,361.79,3222100,361.79
"1791",356.43,357.75,346.32,349.25,6587700,349.25
"1792",347.7,357.2,346.5,357.2,4175000,357.2
"1793",359.34,359.34,353.35,357.35,3520200,357.35
"1794",355.28,355.73,349.45,353.65,4998000,353.65
"1795",352.64,354.54,346.1,347.38,4168100,347.38
"1796",348.8,350.46,344.38,349.8,3492800,349.8
"1797",352.44,354.14,346.75,346.76,4210000,346.76
"1798",345.19,353,343.29,351.78,3644700,351.78
"1799",353,361.08,351.58,358.32,3736400,358.32
"1800",359.86,364.75,357.17,359.8,3622100,359.8
"1801",357.22,360.59,355.5,360.13,3104900,360.13
"1802",360.6,365.87,357.08,362.1,3882000,362.1
"1803",358.74,360.96,354.48,359.78,2798300,359.78
"1804",363.9,365.68,362.46,363.9,2704400,363.9
"1805",364.13,372.73,363.9,372.37,3848300,372.37
"1806",374.05,375.33,368.9,372.16,2926600,372.16
"1807",374.58,374.99,369.53,372.06,2279800,372.06
"1808",372.69,372.73,367,370.53,2105800,370.53
"1809",370.99,372.8,367.28,368.82,2246100,368.82
"1810",366.4,371.16,363.61,370.64,2216600,370.64
"1811",376.62,383.11,368.08,371.51,6829000,371.51
"1812",372.8,378.57,371.55,373.74,4402200,373.74
"1813",375.72,378.85,374.88,375.04,2303000,375.04
"1814",377.32,379,375,378.77,2483500,378.77
"1815",378.77,379,369.42,373.23,2646700,373.23
"1816",370.64,373,366.22,368.97,2558500,368.97
"1817",371,372.84,358.4,360.62,5414100,360.62
"1818",360.09,361.5,348.6,351.85,4873500,351.85
"1819",354.03,358.97,348.84,354.71,4445700,354.71
"1820",357.13,357.6,343.4,343.41,4120700,343.41
"1821",343.15,344,330.88,338.47,5766400,338.47
"1822",340.05,347,336.08,338.29,3986800,338.29
"1823",342.4,346.29,334.06,336.37,4297500,336.37
"1824",338.09,344.43,338,342.99,3600100,342.99
"1825",345.99,348.3,340.38,341.96,4475500,341.96
"1826",341.82,342.5,328.46,333.62,6399300,333.62
"1827",335.15,335.44,315.61,323,12534600,323
"1828",320.99,324.94,313.13,317.76,7077400,317.76
"1829",321.88,328,318.44,327.07,6577600,327.07
"1830",328.47,332.18,322.5,331.81,5056600,331.81
